                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length   26, position   25, alignment  0:	22.7687	5.36647	6.01321	5.37083	7.10745	8.33958
Length   26, position   25, alignment  1:	22.7431	5.44594	7.6553	5.33453	7.14212	8.2972
Length   26, position   25, alignment  1:	22.5979	5.4886	6.01402	5.38507	5.29097	8.34322
Length   24, position   25, alignment  0:	19.429	5.21919	5.70029	5.96788	5.92606	7.15332
Length   24, position   25, alignment  0:	20.2966	5.10544	5.69983	5.97424	5.92612	7.21579
Length   24, position   25, alignment  1:	20.4221	5.93073	6.69891	6.51877	6.11107	8.29825
Length   24, position   25, alignment  1:	20.2973	5.92697	6.3373	6.37111	5.43288	8.334
Length   27, position   26, alignment  0:	23.3339	5.44609	6.09387	5.33449	7.15132	8.2963
Length   27, position   26, alignment  0:	23.2731	5.48915	6.01561	5.56041	7.10789	8.34099
Length   27, position   26, alignment  2:	22.7793	5.25125	5.84108	5.14357	6.89764	8.39636
Length   27, position   26, alignment  2:	22.3805	5.45049	5.80034	5.27979	5.14313	8.43802
Length   25, position   26, alignment  0:	20.0347	6.31718	6.10881	5.9395	5.23834	8.04601
Length   25, position   26, alignment  0:	20.3303	6.51868	7.43428	5.92787	6.24234	8.29662
Length   25, position   26, alignment  2:	20.8852	5.7816	6.34021	6.55171	7.10759	8.33067
Length   25, position   26, alignment  2:	20.8341	5.61987	5.95366	5.51897	6.65279	7.97127
Length   28, position   27, alignment  0:	23.1283	5.72176	6.22452	5.47333	5.33353	8.34235
Length   28, position   27, alignment  0:	23.7897	5.44617	6.47079	5.33426	5.38808	8.29655
Length   28, position   27, alignment  3:	23.9724	5.48955	8.6496	5.50516	5.1432	8.3347
Length   28, position   27, alignment  3:	22.1522	5.07016	5.64923	4.96632	4.9657	8.15146
Length   26, position   27, alignment  0:	20.5556	6.46352	6.38457	6.5191	6.51285	8.34183
Length   26, position   27, alignment  0:	21.3726	6.1834	6.33569	6.55565	7.10704	8.34137
Length   26, position   27, alignment  3:	21.3018	5.71558	6.14946	5.71576	6.89397	8.4418
Length   26, position   27, alignment  3:	20.6194	5.655	8.57109	6.10794	5.05867	7.99251
Length   29, position   28, alignment  0:	22.1381	5.07083	6.48958	4.96677	6.65501	8.1076
Length   29, position   28, alignment  0:	21.8457	4.7874	7.22562	4.75853	5.21159	8.02188
Length   29, position   28, alignment  4:	22.9133	6.39233	7.03822	6.10164	6.50121	8.7072
Length   29, position   28, alignment  4:	24.1385	6.67346	7.29129	6.32806	6.37097	8.70638
Length   27, position   28, alignment  0:	20.3337	5.79214	6.14926	5.7325	6.89531	8.04588
Length   27, position   28, alignment  0:	19.5421	5.57686	7.82027	6.11687	6.61725	7.76614
Length   27, position   28, alignment  4:	20.1501	5.88306	6.42096	5.92725	5.81581	8.29651
Length   27, position   28, alignment  4:	20.3041	5.9261	6.3748	5.92754	7.03502	8.34419
Length   30, position   29, alignment  0:	22.3454	4.74318	5.24048	5.10753	4.96634	8.14162
Length   30, position   29, alignment  0:	21.6092	5.07144	7.35808	4.96648	4.72212	7.62271
Length   30, position   29, alignment  5:	20.2097	6.15817	6.79608	5.89217	5.94127	8.10696
Length   30, position   29, alignment  5:	21.9865	6.6716	7.24985	6.37163	6.32762	8.75394
Length   28, position   29, alignment  0:	20.2092	5.5291	6.15437	5.24001	5.7751	7.51466
Length   28, position   29, alignment  0:	20.1497	5.74271	6.918	5.20674	6.17815	6.37491
Length   28, position   29, alignment  5:	17.0951	5.41899	6.2139	5.50403	5.4164	7.1246
