                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   23, position   22, alignment  6:	14.3845	3.59428	3.55554	2.2224	2.66682	4.03896
Length   21, position   22, alignment  0:	13.8149	4.41367	4.44862	2.75893	3.31061	5.00908
Length   21, position   22, alignment  0:	15.5401	4.41396	4.44801	2.7589	2.75937	4.41534
Length   21, position   22, alignment  6:	15.6951	4.41403	3.31223	3.1514	3.31053	4.96651
Length   21, position   22, alignment  6:	15.6634	4.41399	4.41379	3.20996	3.09692	5.1615
Length   24, position   23, alignment  0:	15.9744	3.87874	3.87891	2.90919	2.95044	4.36365
Length   24, position   23, alignment  0:	16.5169	4.45169	3.31213	2.75897	2.75935	5.00462
Length   24, position   23, alignment  7:	17.758	4.4449	3.31218	2.75893	3.31061	4.51437
Length   24, position   23, alignment  7:	20.4462	4.45009	4.41393	3.31053	3.35501	4.41551
Length   22, position   23, alignment  0:	18.3128	4.33929	4.12903	2.82704	3.18758	5.51741
Length   22, position   23, alignment  0:	16.4399	4.41409	4.54204	3.47049	3.42873	4.80246
Length   22, position   23, alignment  7:	16.7603	4.57149	4.57137	3.37088	3.3877	4.96648
Length   22, position   23, alignment  7:	16.7117	4.57147	4.61053	2.85735	3.4288	5.14363
Length   25, position   24, alignment  0:	19.096	4.5712	3.69904	3.4287	3.42874	4.61497
Length   25, position   24, alignment  0:	18.7568	4.44635	3.31059	2.75891	2.75938	4.70068
Length   25, position   24, alignment  0:	18.8379	4.4606	4.23392	2.95987	3.09702	4.60306
Length   25, position   24, alignment  0:	17.153	4.1553	3.87891	2.42444	2.90926	4.14003
Length   23, position   24, alignment  0:	14.6318	3.87883	3.92357	2.77496	2.90932	4.66267
Length   23, position   24, alignment  0:	15.5213	4.12897	3.68253	2.5809	3.13786	4.78178
Length   23, position   24, alignment  0:	15.8719	4.16452	4.57288	3.07407	2.83821	4.77969
Length   23, position   24, alignment  0:	16.4604	4.44716	4.41399	2.7589	3.35414	4.96637
Length   26, position   25, alignment  0:	19.4295	4.57137	4.57143	3.14569	3.42871	5.14276
Length   26, position   25, alignment  0:	19.5721	4.57143	3.47337	2.85738	3.42877	4.57323
Length   26, position   25, alignment  1:	19.7479	4.41403	3.41716	2.75891	3.31056	4.63992
Length   26, position   25, alignment  1:	20.8376	4.17268	4.12915	2.58093	2.58131	4.61946
Length   24, position   25, alignment  0:	18.16	4.16884	3.09856	2.5809	3.09702	5.21637
Length   24, position   25, alignment  0:	18.1022	4.16225	3.0984	2.58093	3.06419	4.27258
Length   24, position   25, alignment  1:	17.1112	3.87892	3.15823	2.42451	2.90921	4.36453
Length   24, position   25, alignment  1:	18.0998	4.12912	4.16789	2.42448	2.90918	4.47382
Length   27, position   26, alignment  0:	20.7663	4.45924	4.41385	3.30441	2.75938	4.83888
Length   27, position   26, alignment  0:	22.1527	4.41423	4.41388	3.35518	3.31052	4.41576
Length   27, position   26, alignment  2:	22.5598	4.57144	4.61317	2.85742	3.42873	4.97412
Length   27, position   26, alignment  2:	22.9334	4.58464	3.31218	3.35701	3.31058	4.96577
Length   25, position   26, alignment  0:	19.9481	4.41408	4.44884	2.759	3.31068	5.45885
Length   25, position   26, alignment  0:	19.0122	3.87874	2.96269	2.90926	2.42468	4.36456
Length   25, position   26, alignment  2:	17.5225	3.87895	3.99892	2.81625	2.90927	4.487
Length   25, position   26, alignment  2:	18.1071	4.41393	4.45657	2.75891	3.3105	5.226
Length   28, position   27, alignment  0:	22.7039	4.44101	4.41388	2.75897	3.03365	4.41559
