                       	strcasestr	simple_strcasestr
Length   30/2, alignment  9/ 9, found:	39.4297	61.6641
Length   30/2, alignment  9/ 9, fail:	38.8594	62.6719
Length   30/2, alignment  9/15, found:	40.4688	61.1484
Length   30/2, alignment  9/15, fail:	38.8984	62.625
Length   30/2, alignment 15/ 0, found:	39.3828	62.0469
Length   30/2, alignment 15/ 0, fail:	38.8672	61.8516
Length   30/2, alignment 15/ 3, found:	40.4688	62.1328
Length   30/2, alignment 15/ 3, fail:	38.8125	62.6484
Length   30/2, alignment 15/ 9, found:	39.4453	61.7578
Length   30/2, alignment 15/ 9, fail:	39.3594	62.7188
Length   30/2, alignment 15/15, found:	40.4062	63.0938
Length   30/2, alignment 15/15, fail:	39.8594	63.6875
Length    6/3, alignment  0/ 0, found:	32.2109	47.3672
Length    6/3, alignment  0/ 0, fail:	30.7891	45.6172
Length    6/3, alignment  0/ 3, found:	32	45.3203
Length    6/3, alignment  0/ 3, fail:	30.2734	46.6641
Length    6/3, alignment  0/ 9, found:	30.0391	44.5703
Length    6/3, alignment  0/ 9, fail:	32.0156	46.1953
Length    6/3, alignment  0/15, found:	31.2031	45.0859
Length    6/3, alignment  0/15, fail:	29.3438	46.3281
Length    6/3, alignment  3/ 0, found:	30.6094	44.9141
Length    6/3, alignment  3/ 0, fail:	29.2969	45.6953
Length    6/3, alignment  3/ 3, found:	31.4453	45.1875
Length    6/3, alignment  3/ 3, fail:	30.2891	45.2812
Length    6/3, alignment  3/ 9, found:	32.2031	44.8047
Length    6/3, alignment  3/ 9, fail:	30.2969	46.6172
Length    6/3, alignment  3/15, found:	30.3672	45.2031
Length    6/3, alignment  3/15, fail:	28.8047	45.1484
Length    6/3, alignment  9/ 0, found:	30.4766	44.7109
